date,author,start_price,end_price,year,tech,decade,dimension,technique,category
2012,Richard Uutmaa,870.0,870.0,1970.0,"akvarell, paber. signeeritud. ava ",1970.0,2577.06,Watercolour,Other paint
2012,Richard Uutmaa,700.0,1190.0,1962.0,"akvarell, paber. signeeritud. ava ",1960.0,1518.0,Watercolour,Other paint
2012,Ado Vabbe,3800.0,3800.0,1956.0,"akvarell, gua¹¹, paber. signeerimata. lm ",1950.0,3093.45,Watercolour,Other paint
2012,Edgar Valter,2300.0,2300.0,2002.0,"õli, papp. signeeritud. ",2000.0,8944.0,Oil on cardboard,Oil paint
2012,Edgar Valter,400.0,400.0,1971.0,"õli, kartong. signeeritud. säilinud originaalraam. ",1970.0,1258.0,Oil on cardboard,Oil paint
2012,Edgar Valter,1850.0,2160.0,1994.0,"õli, papp. signeeritud. ",1990.0,5600.0,Oil on cardboard,Oil paint
2012,Aleksander Vardi,4950.0,5150.0,1960.0,"keskpaik õli, lõuend. signeeritud. ",1960.0,8100.0,Oil on canvas,Oil paint
2012,Johannes Võerahansu,3600.0,3700.0,1946.0,"õli, vineer. signeeritud. säilinud originaalraam. ",1940.0,2880.0,Oil on wood,Oil paint
2012,Paul Burman,500.0,500.0,1920.0,"akvarell, paber ava ",1920.0,724.8,Watercolour,Other paint
2012,Eduard Einmann,2200.0,2800.0,1953.0,"õli, lõuend ",1950.0,5200.0,Oil on canvas,Oil paint
2012,Richard Kaljo,400.0,400.0,1942.0,"puugravüür, paber. plm.",1940.0,462.25,Wood cut,Other
2012,Ernst Kollom,335.0,335.0,1938.0,"puugravüür, paber. plm. ",1930.0,584.25,Wood cut,Other
2012,Alfred Kongo,1300.0,1300.0,1966.0,"gua¹¹, papp. ",1960.0,4945.25,Gouache,Other paint
2012,Eduard Kutsar,2200.0,2400.0,1927.0,"õli, lõuend. ",1920.0,3380.0,Oil on canvas,Oil paint
2012,Artur Lokk,2000.0,2000.0,1983.0,"õli, papp. ",1980.0,6417.0,Oil on cardboard,Oil paint
2012,Karin Luts,750.0,930.0,1940.0,"õli, lõuend. ",1940.0,1748.0,Oil on canvas,Oil paint
2012,Agu Pihelga,690.0,720.0,1974.0,"õli, lõuend. ",1970.0,3942.0,Oil on canvas,Oil paint
2012,Juhan Püttsepp,950.0,950.0,1970.0,"õli, papp. ",1970.0,2580.75,Oil on cardboard,Oil paint
2012,Lembit Saarts,600.0,600.0,1979.0,"õli, papp. ",1970.0,1750.0,Oil on cardboard,Oil paint
2012,Johannes Uiga,820.0,1000.0,1980.0,"õli, lõuend. ",1980.0,5160.0,Oil on canvas,Oil paint
2012,Edgar Valter,2200.0,3500.0,2002.0,"õli, papp. ",2000.0,8000.0,Oil on cardboard,Oil paint
2012,Edgar Valter,2300.0,2600.0,1995.0,"õli, papp. ",1990.0,8000.0,Oil on cardboard,Oil paint
2012,Eduard Wiiralt,900.0,2800.0,1937.0,"linoollõige, paber. plm ",1930.0,583.22,Linoleum,Graphics
2011,Efraim Allsalu,1100.0,1250.0,1975.0,"õli, lõuend ",1970.0,5340.0,Oil on canvas,Oil paint
2011,Ida Anton-Agu,130.0,350.0,1988.0,"õli, papp ",1980.0,380.0,Oil on cardboard,Oil paint
2011,Aino Bach,270.0,270.0,1958.0,"akvatinta, paber plm ",1950.0,201.60000000000002,Aquatint,Graphics
2011,Nigul Espe,895.0,940.0,1939.0,"akvarell, paber ava ",1930.0,1872.0,Watercolour,Other paint
2011,Richard Kaljo,525.0,700.0,1961.0,"puugravüür, paber plm ",1960.0,735.0,Wood cut,Other
2011,Richard Kivit,620.0,780.0,1920.0,"akvarell, gua¹¹ lm ",1920.0,3130.5499999999997,Watercolour,Other paint
2011,Alfred Kongo,900.0,900.0,1977.0,"tempera, papp ",1970.0,3570.0,Tempera,Other paint
2011,Nikolai Korma¹ov,1500.0,1900.0,1978.0,"õli, lõuend ",1970.0,3780.0,Oil on canvas,Oil paint
2011,Nikolai Kull,3100.0,3650.0,1940.0,"õli, lõuend ",1940.0,2537.0,Oil on canvas,Oil paint
2011,Ilmar Malin,1200.0,1550.0,1977.0,"õli, lõuend ",1970.0,4225.0,Oil on canvas,Oil paint
2011,Konrad Mägi,35500.0,41000.0,1917.0,"õli, lõuend ",1910.0,4248.0,Oil on canvas,Oil paint
2011,Erich Pehap,300.0,520.0,1930.0,"joonistus, paber lm ",1930.0,958.5,Drawing,Drawing
2011,Agu Pihelga,1200.0,1500.0,1972.0,"õli, lõuend ",1970.0,4380.0,Oil on canvas,Oil paint
2011,Johannes Saal,2370.0,2370.0,1943.0,"õli, papp ",1940.0,1230.0,Oil on cardboard,Oil paint
2011,Rudolf Sepp,2500.0,2500.0,1961.0,"õli, lõuend ",1960.0,12384.0,Oil on canvas,Oil paint
2011,Kristjan Teder,2600.0,4600.0,1943.0,"õli, vineer ",1940.0,4380.0,Oil on wood,Oil paint
2011,Johannes Uiga,900.0,1300.0,1964.0,"õli, papp ",1960.0,3796.0,Oil on cardboard,Oil paint
2011,Lüüdia Vallimäe-Mark,600.0,620.0,1975.0,"gua¹¹, paber lm ",1970.0,669.75,Gouache,Other paint
2011,Edgar Valter,550.0,1900.0,1980.0,"lõpp õli, kartong ",1980.0,915.0,Oil on cardboard,Oil paint
2011,Edgar Valter,595.0,2000.0,1980.0,"lõpp õli, kartong ",1980.0,927.0,Oil on cardboard,Oil paint
2011,Edgar Valter,565.0,800.0,1980.0,"lõpp õli, kartong ",1980.0,891.0,Oil on cardboard,Oil paint
2011,Edgar Valter,595.0,1000.0,1980.0,"lõpp õli, kartong ",1980.0,915.0,Oil on cardboard,Oil paint
2011,Edgar Valter,575.0,1050.0,1980.0,"lõpp õli, papp ",1980.0,900.0,Oil on cardboard,Oil paint
2011,Edgar Valter,550.0,1000.0,1980.0,"lõpp õli, kartong ",1980.0,912.04,Oil on cardboard,Oil paint
2011,Edgar Valter,550.0,550.0,1980.0,"lõpp õli, kartong ",1980.0,914.76,Oil on cardboard,Oil paint
2011,Edgar Valter,595.0,1250.0,1980.0,"lõpp õli, kartong ",1980.0,891.0,Oil on cardboard,Oil paint
2011,Edgar Valter,1700.0,1700.0,1994.0,"õli, papp ",1990.0,5600.0,Oil on cardboard,Oil paint
2011,Edgar Valter,2100.0,2100.0,1994.0,"õli, papp ",1990.0,8000.0,Oil on cardboard,Oil paint
2011,Edgar Valter,1800.0,2100.0,1994.0,"õli, papp ",1990.0,5600.0,Oil on cardboard,Oil paint
2011,Edgar Valter,1800.0,3100.0,1994.0,"õli, papp ",1990.0,5600.0,Oil on cardboard,Oil paint
2011,Edgar Valter,1800.0,2300.0,1994.0,"õli, papp ",1990.0,5600.0,Oil on cardboard,Oil paint
2011,Edgar Valter,2300.0,2300.0,1990.0,"õli, papp ",1990.0,5600.0,Oil on cardboard,Oil paint
2011,Edgar Valter,2300.0,2300.0,1960.0,"õli, papp ",1960.0,5600.0,Oil on cardboard,Oil paint
2011,Edgar Valter,2200.0,3000.0,1980.0,"lõpp õli, papp ",1980.0,9030.0,Oil on cardboard,Oil paint
2011,Johannes Võerahansu,2800.0,5100.0,1948.0,"õli, vineer ",1940.0,3770.0,Oil on wood,Oil paint
2011,Eduard Wiiralt,600.0,1250.0,1936.0,"puugravüür, paber plm ",1930.0,143.82,Wood cut,Other
2011,Karl Burman Vanem,715.0,715.0,1953.0,"akvarell, paber. km. ",1950.0,1600.5,Watercolour,Other paint
2011,Nigul Espe,600.0,620.0,1969.0,"akvarell, paber. ",1960.0,1189.5,Watercolour,Other paint
2011,Andrei Jegorov,1350.0,1350.0,," gua¹¹,papp ",,932.2,Gouache,Other paint
2011,Elmar Kits,1900.0,2230.0,1948.0,"tempera, kartong. ",1940.0,2866.5,Tempera,Other paint
