date,author,start_price,end_price,year,tech,decade,dimension,technique,category
2004.0,Märt,607.16,830.85,1973.0,"õli, papp",1970.0,4000.0,Oil on cardboard,Oil paint
2004.0,Oskar,2109.08,2109.08,,"õli, lõuend",,254.20000000000002,Oil on canvas,Oil paint
2004.0,Alo,798.9,1150.41,1985.0,"õli, papp",1980.0,1757.75,Oil on cardboard,Oil paint
2004.0,Andrei,2364.73,4985.11,1932.0,"õli, lõuend papil",1930.0,672.0,Oil on cardboard,Oil paint
2004.0,Raivo,1150.41,1150.41,1962.0,"õli, kartong",1960.0,3264.0,Oil on cardboard,Oil paint
2004.0,Aleksander,1533.88,5080.98,1920.0,"õli, lõuend",1920.0,2428.2000000000003,Oil on canvas,Oil paint
2004.0,Natalie,1150.41,1821.48,1938.0,"akvarell, paber",1930.0,875.0,Watercolour,Other paint
2004.0,Natalie,1150.41,1821.48,1938.0,"akvarell, paber",1930.0,875.0,Watercolour,Other paint
2004.0,Natalie,1150.41,1821.48,1938.0,"akvarell, paber",1930.0,875.0,Watercolour,Other paint
2004.0,Lepo,2045.17,2652.33,1969.0,"õli, lõuend",1960.0,8125.0,Oil on canvas,Oil paint
2004.0,Hando,351.51,958.67,1937.0,"puugravüür, paber",1930.0,221.0,Wood cut,Other
2004.0,Ants,2492.55,2492.55,1950.0,"õli, lõuend",1950.0,9900.0,Oil on canvas,Oil paint
2004.0,Juhan,1597.79,1661.7,1967.0,"õli, lõuend",1960.0,1495.0,Oil on canvas,Oil paint
2004.0,Varmo,766.94,766.94,1964.0,"õli, papp",1960.0,3500.0,Oil on cardboard,Oil paint
2004.0,Gustav,1022.59,1118.45,1935.0,"õli, lõuend",1930.0,5265.0,Oil on canvas,Oil paint
2004.0,Lembit,798.9,1086.5,1958.0,"õli, lõuend",1950.0,3636.0,Oil on canvas,Oil paint
2004.0,Richard,926.72,926.72,1950.0,"õli, vineer",1950.0,2106.0,Oil on wood,Oil paint
2004.0,Ülo,894.76,1629.75,1948.0,"õli, papp",1940.0,2000.0,Oil on cardboard,Oil paint
2004.0,Viljar,3003.85,3003.85,1982.0,"õli, lõuend",1980.0,11931.0,Oil on canvas,Oil paint
